id,low,high,open,close,volume,dt
XRP_USDT,0.5884,0.5992,0.59,0.5949,9686254,2023-12-01
LTC_USDT,69.06,71.655,69.309,70.978,12366177,2023-12-01
BTC_USDT,37566.3,38500,37662.38,38338.52,128772456,2023-12-01
MKR_USDT,1511.69,1553.14,1525.81,1541.95,3418440.8,2023-12-01
DOGE_USDT,0.081347,0.083788,0.083139,0.082368,13628443,2023-12-01
ETH_USDT,2042.55,2094.67,2049.07,2067.38,65175444,2023-12-01
BCH_USDT,220.66,225.35,221.44,222.94,10715175,2023-12-01
BNB_USDT,226,229.24,227.4,226.69,5343052,2023-12-01
TRX_USDT,0.10659,0.12136,0.11107,0.10944,15046916,2023-12-01
ADA_USDT,0.3733,0.38446,0.37546,0.38437,15427102,2023-12-01
SHIB_USDT,0.000008211,0.000008369,0.000008296,0.000008315,12672232,2023-12-01
DOGE_USDT,0.081808,0.0838,0.082368,0.083764,10167624,2023-12-02
XRP_USDT,0.5853,0.599,0.5949,0.5968,11038589,2023-12-02
ETH_USDT,2058,2126.33,2066.92,2120,58520976,2023-12-02
LTC_USDT,70.544,71.712,70.985,71.004,12918260,2023-12-02
MKR_USDT,1499.84,1553.89,1541.32,1537.22,1917151.1,2023-12-02
BNB_USDT,223.74,228,226.67,225.67,8139013,2023-12-02
SHIB_USDT,0.000008278,0.00000902,0.000008314,0.000008527,13782484,2023-12-02
BCH_USDT,222.2,226.14,223.25,224.37,12215034,2023-12-02
ADA_USDT,0.38169,0.39439,0.38399,0.39369,14679072,2023-12-02
BTC_USDT,38150,39000,38352.57,38824.41,111613728,2023-12-02
TRX_USDT,0.1071,0.112,0.1092,0.1112,14310667,2023-12-02
SHIB_USDT,0.000008378,0.000009316,0.000008525,0.000008983,15283641,2023-12-03
ADA_USDT,0.38405,0.40088,0.39362,0.39426,16800160,2023-12-03
MKR_USDT,1498.49,1555.51,1535.78,1514.62,2270262.5,2023-12-03
DOGE_USDT,0.080986,0.084,0.083747,0.082976,15557806,2023-12-03
ETH_USDT,2100,2141.77,2119.49,2140.66,66422752,2023-12-03
BTC_USDT,38713.27,39432.1,38827.82,39408.79,135666400,2023-12-03
BCH_USDT,223.61,227.99,224.39,227.49,13494149,2023-12-03
LTC_USDT,70.275,71.72,71.019,71.334,15000697,2023-12-03
XRP_USDT,0.5856,0.6015,0.5976,0.5956,10996370,2023-12-03
BNB_USDT,221.17,228.41,225.63,223.68,7971814.5,2023-12-03
TRX_USDT,0.10788,0.1225,0.11115,0.11041,15200775,2023-12-03
DOGE_USDT,0.08,0.085,0.082976,0.084998,12598197,2023-12-04
BNB_USDT,219.65,230.42,223.64,227.61,8358548.5,2023-12-04
SHIB_USDT,0.000008709,0.000009253,0.000008984,0.000009053,13867794,2023-12-04
ADA_USDT,0.39162,0.40872,0.39427,0.40092,16526264,2023-12-04
ETH_USDT,2130,2192.67,2140.65,2179.1,76744392,2023-12-04
TRX_USDT,0.10251,0.115,0.11029,0.10417,17905746,2023-12-04
MKR_USDT,1466,1532.05,1511.29,1480.27,2467423.5,2023-12-04
LTC_USDT,70.723,73.019,71.336,71.448,15637917,2023-12-04
BTC_USDT,39400,41000,39404.01,40776.69,136676192,2023-12-04
